Date,Hour,Datetime,AirTemp (G),SoilTemp (G),Fog (G),WindSpeed (G),Humidity (G),AirTemp. (A),SoilTemp. (A),Fog (A),WindSpeed (A),Humidity (A)
7/31/22,15:00,7/31/22 15:00,,,,,,16.4,23.4,0,3.9,53.2
7/31/22,16:00,7/31/22 16:00,,,,,,15.7,23,0,4,55.5
7/31/22,17:00,7/31/22 17:00,,,,,,14,21.6,0,5.5,65.3
7/31/22,18:00,7/31/22 18:00,,,,,,11.4,19.6,0,5.8,78.8
7/31/22,19:00,7/31/22 19:00,,,,,,9.3,17.7,0,5.2,89.5
7/31/22,20:00,7/31/22 20:00,,,,,,9.5,16.3,0,4.3,87.9
7/31/22,21:00,7/31/22 21:00,,,,,,9.5,15.7,0,5.1,86.1
7/31/22,22:00,7/31/22 22:00,,,,,,8.9,15,0,5.8,88
7/31/22,23:00,7/31/22 23:00,,,,,,8.8,14.5,0,4.6,88.5
7/31/22,24:00:00,8/1/22 0:00,8.4,15.2,0,4.3,85.3,8.7,14.2,0,4.7,88
8/1/22,1:00,8/1/22 1:00,8.2,14.9,0,4.1,85.3,8.4,14,0,5,87.9
8/1/22,2:00,8/1/22 2:00,8.2,14.6,0,4.1,84.9,8.5,13.8,0,5.1,88
8/1/22,3:00,8/1/22 3:00,8.4,14.3,0,3.6,83.7,8.7,13.6,0,5.2,84.7
8/1/22,4:00,8/1/22 4:00,8.5,14.1,0,4.7,80.6,8.7,13.4,0,5.7,82.5
8/1/22,5:00,8/1/22 5:00,8.3,13.9,0,4.9,79.1,8.6,13.3,0,6.3,81.9
8/1/22,6:00,8/1/22 6:00,8.4,13.7,0,4.8,77.4,8.7,13.1,0,5.8,80.7
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
