date,time,unit,temperature,condition,species,Type,quadrat,loggertype,datetime
7/24/22,11:05:00,C,30,Brown,SAPE,Brown SAPE,Q1,iButton,7/24/22 11:05
7/24/22,11:05:00,C,22,Brown,SAPE,Brown SAPE,Q2,iButton,7/24/22 11:05
7/24/22,11:05:00,C,25,Brown,SAPE,Brown SAPE,Q3,iButton,7/24/22 11:05
7/24/22,11:05:00,C,27,Brown,SAPE,Brown SAPE,Q4,iButton,7/24/22 11:05
7/24/22,11:05:00,C,32.5,Brown,SAPE,Brown SAPE,Q7,iButton,7/24/22 11:05
7/24/22,11:05:00,C,27.5,Brown,SAPE,Brown SAPE,Q9,iButton,7/24/22 11:05
7/24/22,11:05:00,C,26,Brown,STSA,Brown STSA,Q2,iButton,7/24/22 11:05
7/24/22,11:05:00,C,31,Brown,STSA,Brown STSA,Q3,iButton,7/24/22 11:05
7/24/22,11:05:00,C,31.5,Brown,STSA,Brown STSA,Q5,iButton,7/24/22 11:05
7/24/22,11:05:00,C,25.5,Brown,STSA,Brown STSA,Q6,iButton,7/24/22 11:05
7/24/22,11:05:00,C,29,Green,SAPE,Green SAPE,Q2,iButton,7/24/22 11:05
7/24/22,11:05:00,C,26.5,Green,SAPE,Green SAPE,Q4,iButton,7/24/22 11:05
7/24/22,11:05:00,C,32,Green,SAPE,Green SAPE,Q5,iButton,7/24/22 11:05
7/24/22,11:05:00,C,30,Green,STSA,Green STSA,Q1,iButton,7/24/22 11:05
7/24/22,11:05:00,C,25.5,Green,STSA,Green STSA,Q2,iButton,7/24/22 11:05
7/24/22,11:05:00,C,24.5,Green,STSA,Green STSA,Q3,iButton,7/24/22 11:05
7/24/22,11:05:00,C,28,Green,STSA,Green STSA,Q4,iButton,7/24/22 11:05
7/24/22,11:05:00,C,28.5,Green,STSA,Green STSA,Q6,iButton,7/24/22 11:05
7/24/22,11:05:00,C,31.5,Green,STSA,Green STSA,Q7,iButton,7/24/22 11:05
7/24/22,11:06:00,C,33.5,Brown,SAPE,Brown SAPE,Q5,iButton,7/24/22 11:06
7/24/22,11:06:00,C,25,Brown,SAPE,Brown SAPE,Q6,iButton,7/24/22 11:06
7/24/22,11:06:00,C,30.5,Brown,STSA,Brown STSA,Q1,iButton,7/24/22 11:06
7/24/22,11:06:00,C,28,Brown,STSA,Brown STSA,Q4,iButton,7/24/22 11:06
7/24/22,11:06:00,C,33,Brown,STSA,Brown STSA,Q7,iButton,7/24/22 11:06
7/24/22,11:06:00,C,30.5,Brown,STSA,Brown STSA,Q9,iButton,7/24/22 11:06
7/24/22,11:06:00,C,28,Green,SAPE,Green SAPE,Q1,iButton,7/24/22 11:06
7/24/22,11:06:00,C,24.5,Green,SAPE,Green SAPE,Q3,iButton,7/24/22 11:06
7/24/22,11:06:00,C,26,Green,SAPE,Green SAPE,Q6,iButton,7/24/22 11:06
7/24/22,11:06:00,C,31.5,Green,SAPE,Green SAPE,Q7,iButton,7/24/22 11:06
7/24/22,11:06:00,C,32,Green,SAPE,Green SAPE,Q9,iButton,7/24/22 11:06
7/24/22,11:06:00,C,31,Green,STSA,Green STSA,Q5,iButton,7/24/22 11:06
7/24/22,11:06:00,C,30.5,Green,STSA,Green STSA,Q9,iButton,7/24/22 11:06
7/24/22,11:07:00,C,30,Brown,SAPE,Brown SAPE,Q1,iButton,7/24/22 11:07
7/24/22,11:07:00,C,22,Brown,SAPE,Brown SAPE,Q2,iButton,7/24/22 11:07
7/24/22,11:07:00,C,23.5,Brown,SAPE,Brown SAPE,Q3,iButton,7/24/22 11:07
7/24/22,11:07:00,C,25.5,Brown,SAPE,Brown SAPE,Q4,iButton,7/24/22 11:07
7/24/22,11:07:00,C,32.5,Brown,SAPE,Brown SAPE,Q7,iButton,7/24/22 11:07
7/24/22,11:07:00,C,25,Brown,SAPE,Brown SAPE,Q9,iButton,7/24/22 11:07
7/24/22,11:07:00,C,25.5,Brown,STSA,Brown STSA,Q2,iButton,7/24/22 11:07
7/24/22,11:07:00,C,31,Brown,STSA,Brown STSA,Q3,iButton,7/24/22 11:07
7/24/22,11:07:00,C,31.5,Brown,STSA,Brown STSA,Q5,iButton,7/24/22 11:07
7/24/22,11:07:00,C,23,Brown,STSA,Brown STSA,Q6,iButton,7/24/22 11:07
7/24/22,11:07:00,C,28.5,Green,SAPE,Green SAPE,Q2,iButton,7/24/22 11:07
7/24/22,11:07:00,C,27.5,Green,SAPE,Green SAPE,Q4,iButton,7/24/22 11:07
7/24/22,11:07:00,C,32.5,Green,SAPE,Green SAPE,Q5,iButton,7/24/22 11:07
7/24/22,11:07:00,C,30,Green,STSA,Green STSA,Q1,iButton,7/24/22 11:07
7/24/22,11:07:00,C,24,Green,STSA,Green STSA,Q2,iButton,7/24/22 11:07
7/24/22,11:07:00,C,24,Green,STSA,Green STSA,Q3,iButton,7/24/22 11:07
7/24/22,11:07:00,C,27,Green,STSA,Green STSA,Q4,iButton,7/24/22 11:07
7/24/22,11:07:00,C,26,Green,STSA,Green STSA,Q6,iButton,7/24/22 11:07
7/24/22,11:07:00,C,31.5,Green,STSA,Green STSA,Q7,iButton,7/24/22 11:07
7/24/22,11:08:00,C,33.5,Brown,SAPE,Brown SAPE,Q5,iButton,7/24/22 11:08
7/24/22,11:08:00,C,23,Brown,SAPE,Brown SAPE,Q6,iButton,7/24/22 11:08
7/24/22,11:08:00,C,30.5,Brown,STSA,Brown STSA,Q1,iButton,7/24/22 11:08
7/24/22,11:08:00,C,27,Brown,STSA,Brown STSA,Q4,iButton,7/24/22 11:08
7/24/22,11:08:00,C,33,Brown,STSA,Brown STSA,Q7,iButton,7/24/22 11:08
7/24/22,11:08:00,C,26,Brown,STSA,Brown STSA,Q9,iButton,7/24/22 11:08
7/24/22,11:08:00,C,28,Green,SAPE,Green SAPE,Q1,iButton,7/24/22 11:08
7/24/22,11:08:00,C,23.5,Green,SAPE,Green SAPE,Q3,iButton,7/24/22 11:08
7/24/22,11:08:00,C,25,Green,SAPE,Green SAPE,Q6,iButton,7/24/22 11:08
7/24/22,11:08:00,C,31.5,Green,SAPE,Green SAPE,Q7,iButton,7/24/22 11:08
7/24/22,11:08:00,C,28.5,Green,SAPE,Green SAPE,Q9,iButton,7/24/22 11:08
7/24/22,11:08:00,C,31,Green,STSA,Green STSA,Q5,iButton,7/24/22 11:08
7/24/22,11:08:00,C,26,Green,STSA,Green STSA,Q9,iButton,7/24/22 11:08
7/24/22,11:09:00,C,30,Brown,SAPE,Brown SAPE,Q1,iButton,7/24/22 11:09
7/24/22,11:09:00,C,22,Brown,SAPE,Brown SAPE,Q2,iButton,7/24/22 11:09
7/24/22,11:09:00,C,23,Brown,SAPE,Brown SAPE,Q3,iButton,7/24/22 11:09
7/24/22,11:09:00,C,24.5,Brown,SAPE,Brown SAPE,Q4,iButton,7/24/22 11:09
7/24/22,11:09:00,C,33,Brown,SAPE,Brown SAPE,Q7,iButton,7/24/22 11:09
7/24/22,11:09:00,C,23.5,Brown,SAPE,Brown SAPE,Q9,iButton,7/24/22 11:09
7/24/22,11:09:00,C,25,Brown,STSA,Brown STSA,Q2,iButton,7/24/22 11:09
7/24/22,11:09:00,C,31,Brown,STSA,Brown STSA,Q3,iButton,7/24/22 11:09
7/24/22,11:09:00,C,31.5,Brown,STSA,Brown STSA,Q5,iButton,7/24/22 11:09
7/24/22,11:09:00,C,23,Brown,STSA,Brown STSA,Q6,iButton,7/24/22 11:09
7/24/22,11:09:00,C,28.5,Green,SAPE,Green SAPE,Q2,iButton,7/24/22 11:09
7/24/22,11:09:00,C,28.5,Green,SAPE,Green SAPE,Q4,iButton,7/24/22 11:09
7/24/22,11:09:00,C,32.5,Green,SAPE,Green SAPE,Q5,iButton,7/24/22 11:09
7/24/22,11:09:00,C,30,Green,STSA,Green STSA,Q1,iButton,7/24/22 11:09
7/24/22,11:09:00,C,24,Green,STSA,Green STSA,Q2,iButton,7/24/22 11:09
7/24/22,11:09:00,C,24,Green,STSA,Green STSA,Q3,iButton,7/24/22 11:09
7/24/22,11:09:00,C,28.5,Green,STSA,Green STSA,Q4,iButton,7/24/22 11:09
7/24/22,11:09:00,C,25,Green,STSA,Green STSA,Q6,iButton,7/24/22 11:09
7/24/22,11:09:00,C,31.5,Green,STSA,Green STSA,Q7,iButton,7/24/22 11:09
7/24/22,11:10:00,C,34,Brown,SAPE,Brown SAPE,Q5,iButton,7/24/22 11:10
7/24/22,11:10:00,C,23,Brown,SAPE,Brown SAPE,Q6,iButton,7/24/22 11:10
7/24/22,11:10:00,C,30.5,Brown,STSA,Brown STSA,Q1,iButton,7/24/22 11:10
7/24/22,11:10:00,C,27,Brown,STSA,Brown STSA,Q4,iButton,7/24/22 11:10
7/24/22,11:10:00,C,33.5,Brown,STSA,Brown STSA,Q7,iButton,7/24/22 11:10
7/24/22,11:10:00,C,25,Brown,STSA,Brown STSA,Q9,iButton,7/24/22 11:10
7/24/22,11:10:00,C,28.5,Green,SAPE,Green SAPE,Q1,iButton,7/24/22 11:10
7/24/22,11:10:00,C,23,Green,SAPE,Green SAPE,Q3,iButton,7/24/22 11:10
7/24/22,11:10:00,C,24.5,Green,SAPE,Green SAPE,Q6,iButton,7/24/22 11:10
7/24/22,11:10:00,C,32,Green,SAPE,Green SAPE,Q7,iButton,7/24/22 11:10
7/24/22,11:10:00,C,27.5,Green,SAPE,Green SAPE,Q9,iButton,7/24/22 11:10
7/24/22,11:10:00,C,31.5,Green,STSA,Green STSA,Q5,iButton,7/24/22 11:10
7/24/22,11:10:00,C,25,Green,STSA,Green STSA,Q9,iButton,7/24/22 11:10
7/24/22,11:11:00,C,30.5,Brown,SAPE,Brown SAPE,Q1,iButton,7/24/22 11:11
7/24/22,11:11:00,C,21,Brown,SAPE,Brown SAPE,Q2,iButton,7/24/22 11:11
7/24/22,11:11:00,C,22.5,Brown,SAPE,Brown SAPE,Q3,iButton,7/24/22 11:11
7/24/22,11:11:00,C,23,Brown,SAPE,Brown SAPE,Q4,iButton,7/24/22 11:11
7/24/22,11:11:00,C,33,Brown,SAPE,Brown SAPE,Q7,iButton,7/24/22 11:11
7/24/22,11:11:00,C,23,Brown,SAPE,Brown SAPE,Q9,iButton,7/24/22 11:11
7/24/22,11:11:00,C,24,Brown,STSA,Brown STSA,Q2,iButton,7/24/22 11:11
7/24/22,11:11:00,C,28,Brown,STSA,Brown STSA,Q3,iButton,7/24/22 11:11
7/24/22,11:11:00,C,32,Brown,STSA,Brown STSA,Q5,iButton,7/24/22 11:11
7/24/22,11:11:00,C,23,Brown,STSA,Brown STSA,Q6,iButton,7/24/22 11:11
7/24/22,11:11:00,C,25.5,Green,SAPE,Green SAPE,Q2,iButton,7/24/22 11:11
7/24/22,11:11:00,C,25,Green,SAPE,Green SAPE,Q4,iButton,7/24/22 11:11
7/24/22,11:11:00,C,32.5,Green,SAPE,Green SAPE,Q5,iButton,7/24/22 11:11
7/24/22,11:11:00,C,30.5,Green,STSA,Green STSA,Q1,iButton,7/24/22 11:11
7/24/22,11:11:00,C,22.5,Green,STSA,Green STSA,Q2,iButton,7/24/22 11:11
7/24/22,11:11:00,C,22.5,Green,STSA,Green STSA,Q3,iButton,7/24/22 11:11
7/24/22,11:11:00,C,24.5,Green,STSA,Green STSA,Q4,iButton,7/24/22 11:11
7/24/22,11:11:00,C,25,Green,STSA,Green STSA,Q6,iButton,7/24/22 11:11
7/24/22,11:11:00,C,31.5,Green,STSA,Green STSA,Q7,iButton,7/24/22 11:11
7/24/22,11:12:00,C,34,Brown,SAPE,Brown SAPE,Q5,iButton,7/24/22 11:12
7/24/22,11:12:00,C,22,Brown,SAPE,Brown SAPE,Q6,iButton,7/24/22 11:12
7/24/22,11:12:00,C,30.5,Brown,STSA,Brown STSA,Q1,iButton,7/24/22 11:12
7/24/22,11:12:00,C,24,Brown,STSA,Brown STSA,Q4,iButton,7/24/22 11:12
7/24/22,11:12:00,C,33.5,Brown,STSA,Brown STSA,Q7,iButton,7/24/22 11:12
7/24/22,11:12:00,C,25,Brown,STSA,Brown STSA,Q9,iButton,7/24/22 11:12
7/24/22,11:12:00,C,28.5,Green,SAPE,Green SAPE,Q1,iButton,7/24/22 11:12
7/24/22,11:12:00,C,22,Green,SAPE,Green SAPE,Q3,iButton,7/24/22 11:12
7/24/22,11:12:00,C,21,Green,SAPE,Green SAPE,Q6,iButton,7/24/22 11:12
7/24/22,11:12:00,C,31.5,Green,SAPE,Green SAPE,Q7,iButton,7/24/22 11:12
7/24/22,11:12:00,C,27,Green,SAPE,Green SAPE,Q9,iButton,7/24/22 11:12
7/24/22,11:12:00,C,31.5,Green,STSA,Green STSA,Q5,iButton,7/24/22 11:12
7/24/22,11:12:00,C,24.5,Green,STSA,Green STSA,Q9,iButton,7/24/22 11:12
7/24/22,11:13:00,C,30.5,Brown,SAPE,Brown SAPE,Q1,iButton,7/24/22 11:13
7/24/22,11:13:00,C,21.5,Brown,SAPE,Brown SAPE,Q2,iButton,7/24/22 11:13
7/24/22,11:13:00,C,22.5,Brown,SAPE,Brown SAPE,Q3,iButton,7/24/22 11:13
7/24/22,11:13:00,C,23,Brown,SAPE,Brown SAPE,Q4,iButton,7/24/22 11:13
7/24/22,11:13:00,C,33.5,Brown,SAPE,Brown SAPE,Q7,iButton,7/24/22 11:13
7/24/22,11:13:00,C,22,Brown,SAPE,Brown SAPE,Q9,iButton,7/24/22 11:13
7/24/22,11:13:00,C,24,Brown,STSA,Brown STSA,Q2,iButton,7/24/22 11:13
7/24/22,11:13:00,C,26.5,Brown,STSA,Brown STSA,Q3,iButton,7/24/22 11:13
7/24/22,11:13:00,C,32,Brown,STSA,Brown STSA,Q5,iButton,7/24/22 11:13
7/24/22,11:13:00,C,22,Brown,STSA,Brown STSA,Q6,iButton,7/24/22 11:13
7/24/22,11:13:00,C,24.5,Green,SAPE,Green SAPE,Q2,iButton,7/24/22 11:13
7/24/22,11:13:00,C,25.5,Green,SAPE,Green SAPE,Q4,iButton,7/24/22 11:13
7/24/22,11:13:00,C,33,Green,SAPE,Green SAPE,Q5,iButton,7/24/22 11:13
7/24/22,11:13:00,C,30.5,Green,STSA,Green STSA,Q1,iButton,7/24/22 11:13
7/24/22,11:13:00,C,23,Green,STSA,Green STSA,Q2,iButton,7/24/22 11:13
7/24/22,11:13:00,C,23,Green,STSA,Green STSA,Q3,iButton,7/24/22 11:13
7/24/22,11:13:00,C,24,Green,STSA,Green STSA,Q4,iButton,7/24/22 11:13
7/24/22,11:13:00,C,24,Green,STSA,Green STSA,Q6,iButton,7/24/22 11:13
7/24/22,11:13:00,C,32,Green,STSA,Green STSA,Q7,iButton,7/24/22 11:13
7/24/22,11:14:00,C,34.5,Brown,SAPE,Brown SAPE,Q5,iButton,7/24/22 11:14
7/24/22,11:14:00,C,22,Brown,SAPE,Brown SAPE,Q6,iButton,7/24/22 11:14
7/24/22,11:14:00,C,31,Brown,STSA,Brown STSA,Q1,iButton,7/24/22 11:14
7/24/22,11:14:00,C,24,Brown,STSA,Brown STSA,Q4,iButton,7/24/22 11:14
7/24/22,11:14:00,C,34.5,Brown,STSA,Brown STSA,Q7,iButton,7/24/22 11:14
7/24/22,11:14:00,C,23.5,Brown,STSA,Brown STSA,Q9,iButton,7/24/22 11:14
7/24/22,11:14:00,C,28.5,Green,SAPE,Green SAPE,Q1,iButton,7/24/22 11:14
7/24/22,11:14:00,C,22,Green,SAPE,Green SAPE,Q3,iButton,7/24/22 11:14
7/24/22,11:14:00,C,21.5,Green,SAPE,Green SAPE,Q6,iButton,7/24/22 11:14
7/24/22,11:14:00,C,32.5,Green,SAPE,Green SAPE,Q7,iButton,7/24/22 11:14
7/24/22,11:14:00,C,26,Green,SAPE,Green SAPE,Q9,iButton,7/24/22 11:14
7/24/22,11:14:00,C,32,Green,STSA,Green STSA,Q5,iButton,7/24/22 11:14
7/24/22,11:14:00,C,22.5,Green,STSA,Green STSA,Q9,iButton,7/24/22 11:14
7/24/22,11:15:00,C,30.5,Brown,SAPE,Brown SAPE,Q1,iButton,7/24/22 11:15
7/24/22,11:15:00,C,21.5,Brown,SAPE,Brown SAPE,Q2,iButton,7/24/22 11:15
7/24/22,11:15:00,C,23,Brown,SAPE,Brown SAPE,Q3,iButton,7/24/22 11:15
7/24/22,11:15:00,C,22.5,Brown,SAPE,Brown SAPE,Q4,iButton,7/24/22 11:15
7/24/22,11:15:00,C,33.5,Brown,SAPE,Brown SAPE,Q7,iButton,7/24/22 11:15
7/24/22,11:15:00,C,22,Brown,SAPE,Brown SAPE,Q9,iButton,7/24/22 11:15
7/24/22,11:15:00,C,24,Brown,STSA,Brown STSA,Q2,iButton,7/24/22 11:15
7/24/22,11:15:00,C,25.5,Brown,STSA,Brown STSA,Q3,iButton,7/24/22 11:15
7/24/22,11:15:00,C,32.5,Brown,STSA,Brown STSA,Q5,iButton,7/24/22 11:15
7/24/22,11:15:00,C,22,Brown,STSA,Brown STSA,Q6,iButton,7/24/22 11:15
7/24/22,11:15:00,C,24,Green,SAPE,Green SAPE,Q2,iButton,7/24/22 11:15
7/24/22,11:15:00,C,27,Green,SAPE,Green SAPE,Q4,iButton,7/24/22 11:15
7/24/22,11:15:00,C,33,Green,SAPE,Green SAPE,Q5,iButton,7/24/22 11:15
7/24/22,11:15:00,C,30.5,Green,STSA,Green STSA,Q1,iButton,7/24/22 11:15
7/24/22,11:15:00,C,22.5,Green,STSA,Green STSA,Q2,iButton,7/24/22 11:15
7/24/22,11:15:00,C,22.5,Green,STSA,Green STSA,Q3,iButton,7/24/22 11:15
7/24/22,11:15:00,C,24,Green,STSA,Green STSA,Q4,iButton,7/24/22 11:15
7/24/22,11:15:00,C,24,Green,STSA,Green STSA,Q6,iButton,7/24/22 11:15
7/24/22,11:15:00,C,32,Green,STSA,Green STSA,Q7,iButton,7/24/22 11:15
7/24/22,11:16:00,C,35,Brown,SAPE,Brown SAPE,Q5,iButton,7/24/22 11:16
7/24/22,11:16:00,C,21.5,Brown,SAPE,Brown SAPE,Q6,iButton,7/24/22 11:16
7/24/22,11:16:00,C,31,Brown,STSA,Brown STSA,Q1,iButton,7/24/22 11:16
7/24/22,11:16:00,C,24,Brown,STSA,Brown STSA,Q4,iButton,7/24/22 11:16
7/24/22,11:16:00,C,34.5,Brown,STSA,Brown STSA,Q7,iButton,7/24/22 11:16
7/24/22,11:16:00,C,23.5,Brown,STSA,Brown STSA,Q9,iButton,7/24/22 11:16
7/24/22,11:16:00,C,28.5,Green,SAPE,Green SAPE,Q1,iButton,7/24/22 11:16
7/24/22,11:16:00,C,21.5,Green,SAPE,Green SAPE,Q3,iButton,7/24/22 11:16
7/24/22,11:16:00,C,22.5,Green,SAPE,Green SAPE,Q6,iButton,7/24/22 11:16
7/24/22,11:16:00,C,32.5,Green,SAPE,Green SAPE,Q7,iButton,7/24/22 11:16
7/24/22,11:16:00,C,25.5,Green,SAPE,Green SAPE,Q9,iButton,7/24/22 11:16
7/24/22,11:16:00,C,32,Green,STSA,Green STSA,Q5,iButton,7/24/22 11:16
7/24/22,11:16:00,C,22.5,Green,STSA,Green STSA,Q9,iButton,7/24/22 11:16
7/24/22,11:17:00,C,31,Brown,SAPE,Brown SAPE,Q1,iButton,7/24/22 11:17
7/24/22,11:17:00,C,21,Brown,SAPE,Brown SAPE,Q2,iButton,7/24/22 11:17
7/24/22,11:17:00,C,22.5,Brown,SAPE,Brown SAPE,Q3,iButton,7/24/22 11:17
7/24/22,11:17:00,C,22.5,Brown,SAPE,Brown SAPE,Q4,iButton,7/24/22 11:17
7/24/22,11:17:00,C,34,Brown,SAPE,Brown SAPE,Q7,iButton,7/24/22 11:17
7/24/22,11:17:00,C,22,Brown,SAPE,Brown SAPE,Q9,iButton,7/24/22 11:17
7/24/22,11:17:00,C,23,Brown,STSA,Brown STSA,Q2,iButton,7/24/22 11:17
7/24/22,11:17:00,C,24,Brown,STSA,Brown STSA,Q3,iButton,7/24/22 11:17
7/24/22,11:17:00,C,32.5,Brown,STSA,Brown STSA,Q5,iButton,7/24/22 11:17
