Date,Hour,Datetime,Station,AirTemp,SoilTemp,Fog,WindSpeed,Humidity
7/30/22,12:00,7/30/22 12:00,Aussinanis,21,22.4,0,1.9,26.6
7/30/22,13:00,7/30/22 13:00,Aussinanis,22,25,0,3.1,23.2
7/30/22,14:00,7/30/22 14:00,Aussinanis,22.6,26.6,0,4,22.3
7/30/22,15:00,7/30/22 15:00,Aussinanis,22.1,26.4,0,6.7,27.4
7/30/22,16:00,7/30/22 16:00,Aussinanis,21.1,25.7,0,6.3,30.9
7/30/22,17:00,7/30/22 17:00,Aussinanis,18.7,24.2,0,6.4,39.3
7/30/22,18:00,7/30/22 18:00,Aussinanis,15.5,22.2,0,5.4,56.7
7/30/22,19:00,7/30/22 19:00,Aussinanis,13.4,20.2,0,4.5,65.2
7/30/22,20:00,7/30/22 20:00,Aussinanis,11.5,18.5,0,2.1,72.9
7/30/22,21:00,7/30/22 21:00,Aussinanis,11.1,17,0,1.9,76.9
7/30/22,22:00,7/30/22 22:00,Aussinanis,9.8,15.7,0,1.5,81.2
7/30/22,23:00,7/30/22 23:00,Aussinanis,8.4,14.6,0,0.5,80.7
7/30/22,24:00:00,7/31/22 0:00,Aussinanis,6.3,13.6,0,1.5,83
7/31/22,1:00,7/31/22 1:00,Aussinanis,5.7,12.7,0,3.3,83
7/31/22,2:00,7/31/22 2:00,Aussinanis,5,12,0,3.9,82.1
7/31/22,3:00,7/31/22 3:00,Aussinanis,5,11.3,0,3.9,90
7/31/22,4:00,7/31/22 4:00,Aussinanis,5.2,10.7,0.3,3.5,95.9
7/31/22,5:00,7/31/22 5:00,Aussinanis,6.6,10.6,1.6,3.5,99
7/31/22,6:00,7/31/22 6:00,Aussinanis,6.4,10.9,0.6,2.9,99.6
7/31/22,7:00,7/31/22 7:00,Aussinanis,6.9,11.2,0.4,3.8,99.9
7/31/22,8:00,7/31/22 8:00,Aussinanis,7.8,11.7,0,4.2,99.6
7/31/22,9:00,7/31/22 9:00,Aussinanis,9.9,12.8,0,3,94.2
7/31/22,10:00,7/31/22 10:00,Aussinanis,12.4,14.9,0,3.4,81.6
7/31/22,11:00,7/31/22 11:00,Aussinanis,14.8,17.8,0,4.5,67.3
7/31/22,12:00,7/31/22 12:00,Aussinanis,16.1,20.5,0,5.3,58.4
7/31/22,13:00,7/31/22 13:00,Aussinanis,16.7,22.6,0,6.3,57.9
7/31/22,14:00,7/31/22 14:00,Aussinanis,16.3,23.7,0,4.6,57.8
7/31/22,15:00,7/31/22 15:00,Aussinanis,16.4,23.4,0,3.9,53.2
7/31/22,16:00,7/31/22 16:00,Aussinanis,15.7,23,0,4,55.5
7/31/22,17:00,7/31/22 17:00,Aussinanis,14,21.6,0,5.5,65.3
7/31/22,18:00,7/31/22 18:00,Aussinanis,11.4,19.6,0,5.8,78.8
7/31/22,19:00,7/31/22 19:00,Aussinanis,9.3,17.7,0,5.2,89.5
7/31/22,20:00,7/31/22 20:00,Aussinanis,9.5,16.3,0,4.3,87.9
7/31/22,21:00,7/31/22 21:00,Aussinanis,9.5,15.7,0,5.1,86.1
7/31/22,22:00,7/31/22 22:00,Aussinanis,8.9,15,0,5.8,88
7/31/22,23:00,7/31/22 23:00,Aussinanis,8.8,14.5,0,4.6,88.5
7/31/22,24:00:00,8/1/22 0:00,Aussinanis,8.7,14.2,0,4.7,88
8/1/22,1:00,8/1/22 1:00,Aussinanis,8.4,14,0,5,87.9
8/1/22,2:00,8/1/22 2:00,Aussinanis,8.5,13.8,0,5.1,88
8/1/22,3:00,8/1/22 3:00,Aussinanis,8.7,13.6,0,5.2,84.7
8/1/22,4:00,8/1/22 4:00,Aussinanis,8.7,13.4,0,5.7,82.5
8/1/22,5:00,8/1/22 5:00,Aussinanis,8.6,13.3,0,6.3,81.9
8/1/22,6:00,8/1/22 6:00,Aussinanis,8.7,13.1,0,5.8,80.7
